station,latitude,longitude
Aalst,50.94312325212488,4.038683507111515
Aalter,51.09225779139449,3.447855382940146
Aarschot,50.98449635540834,4.823698347886938
Aarsele,50.98449587775488,3.41837146644795
Alken,50.886400235927916,5.291749444935051
Anderlecht,50.817918890620895,4.29153935389493
Antwerpen-Berchem,51.1988702961587,4.432979473543215
Baasrode-Zuid,51.01938772431604,4.15401461327405
Beernem,51.127984351343564,3.329867037752411
Begijnendijk,51.02202332433806,4.800439914572373
Bellem,51.08372389725801,3.487287359353551
Berlaar,51.113708437795054,4.638257975914391
Blankenberge,51.31228295182011,3.133562308706298
Bockstael,50.87943983166831,4.348514000855896
Boechout,51.16382800159388,4.49404699525959
Bokrijk,50.955795456999596,5.408576048052186
Booischot,51.037499464688636,4.772796366390144
Boortmeerbeek,50.98190383220303,4.57399271193005
Brugge,51.19727306937378,3.216852878213191
Brugge-Bundels U/V,51.1905170014511,3.222696995695276
Brugge-Sint-Pieters,51.22266043095538,3.201678747582974
Brussel-Centraal,50.84531101978561,4.35675831766839
Brussel-Congres,50.85178018311057,4.362219760072247
Brussel-Kapellekerk,50.841176483587425,4.347842850133666
Brussel-Noord,50.85959959838314,4.361252318634824
Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
Brussel-West,50.85205607050756,4.322817267052568
Brussel-Zuid,50.83580082886068,4.336052466325346
Buda,50.90808941401188,4.417587678075591
Buggenhout,51.01631183819492,4.200760136726267
Deinze,50.9781328604359,3.535002801077202
Deinze-Wijksporen,50.9790461798649,3.540645659081197
Denderleeuw,50.891621170603955,4.071431566061722
Dendermonde,51.022951980794005,4.101327011759538
De Pinte,50.998952524822585,3.655383901672195
Diegem,50.89062008445345,4.441952580833079
Diest,50.99342002336958,5.050066472491223
Dilbeek,50.86638979130907,4.243574071280418
Drongen,51.047503146402754,3.653586159319735
Duffel,51.091684329214274,4.492767295335319
Eppegem,50.95840721352074,4.457499467095007
Erembodegem,50.91929248249657,4.055478044299816
Erps-Kwerps,50.89654505809275,4.584930600736926
Essene-Lombeek,50.882398692140114,4.115166601057234
Ezemaal,50.77212949781888,4.994219913271197
Genk,50.967071021620654,5.498086693151217
Gent-Sint-Pieters,51.03551971701421,3.710101315832923
Gent-Sint-Pieters-Bundels,51.03655378653426,3.703917085694866
Groot-Bijgaarden,50.86839848514289,4.274515963982332
Haacht,50.96626270702382,4.613329769481095
Haacht-Wijkspoor,50.96428726510442,4.621727735484607
Hambos,50.944395574176696,4.663253957778934
Hansbeke,51.07270818510425,3.537446874067181
Harelbeke,50.85629094542211,3.314655510959286
Haren-Zuid,50.889616892134654,4.415076991166356
Hasselt,50.93094539063631,5.326071324066093
Hasselt-Afwisseling,50.936263455001104,5.303919561361893
Heist-op-den-Berg,51.073554825164585,4.709356990822297
Herent,50.90358929255643,4.672141055672479
Hever,50.99640059409282,4.540771399949431
Hofstade,50.988539649222346,4.498451705048018
Hove,51.15406191789155,4.465214254147384
Ingelmunster,50.91484341700642,3.254708319352296
Izegem,50.92110934791895,3.21346951707641
Izegem-Sas,50.92120714692377,3.219680037338991
Jette,50.88120457651592,4.332923410788644
Kapelle-op-den-Bos,51.010827123385425,4.358811372849264
Kiewit,50.95466485008808,5.350407516097127
Kontich-Lint,51.13368368793974,4.47689680687504
Kortenberg,50.89300415046401,4.543312926825426
Kortenberg-Goederen,50.893766016593474,4.552069735832903
Kortrijk,50.82441338246862,3.267774528680328
Kwatrecht,50.99155010054474,3.833335262496046
Landegem,51.06421597718289,3.57704576219589
Landen,50.7478945465236,5.079627434738533
Langdorp,51.00246923181287,4.863538493784459
Lede,50.970970941375874,3.985076835022102
Leuven,50.88136571115078,4.716208512981546
Leuven-Bundel M,50.89048741099339,4.715212056034138
Lichtervelde,51.025212177341054,3.126819220887453
Liedekerke,50.882547620740944,4.095286581223728
Lier,51.13604368651541,4.561775772658214
Londerzeel,51.00941362761383,4.296896133799565
Machelen,50.90596642069302,4.421043048845224
Malderen,51.01428356975301,4.231399792037534
Maria-Aalter,51.10757473497731,3.386700586663826
Mechelen,51.01761866620954,4.483579828080118
Mechelen-Nekkerspoel,51.030011706650285,4.490206757525486
Melkouwen,51.095163902445975,4.67120807182244
Melle,51.002749921068165,3.796939037051605
Merelbeke,51.020057593681734,3.764835020911601
Mortsel,51.18289070974223,4.448811507867791
Mortsel-Liersesteenweg,51.169548577434576,4.469151255029592
Muizen,51.00823700109542,4.514109018598967
Neerwinden,50.76376087904074,5.036335028170957
Nossegem,50.88344233385105,4.506060556822931
Oostkamp,51.15421490987769,3.257626153621203
Oudegem,51.014737627992446,4.062437122289404
Roeselare,50.94934123119796,3.13023603832593
Schaarbeek,50.87869266989909,4.378431524039678
Schaarbeek-Perron P.C.I.,50.90161855777666,4.414710414550336
Schellebelle,51.00312616442199,3.92143307788236
Schoonaarde,51.003138571181125,4.011262908092702
Schulen,50.96418013482577,5.18542062549714
Schulen-Sas,50.963577095654976,5.188162889720117
Serskamp,50.98453800875389,3.959538984169734
Simonis,50.86599657853117,4.334138582968338
Sint-Agatha-Berchem,50.873033681208796,4.290747342200437
Sint-Katelijne-Waver,51.07092770112268,4.495807348133646
Sint-Martens-Bodegem,50.8671660562188,4.2049393203133
Sint-Truiden,50.81768876585601,5.176520546000151
Ternat,50.874645887542954,4.165480312447825
Testelt,51.009863921942355,4.945833786595188
Thurn en Taxis,50.87155655999172,4.340863745355737
Tielt,50.99003689048316,3.328627110235745
Tienen,50.8079314339937,4.925636678946889
Torhout,51.064712250785384,3.105750907108637
Veltem,50.90055001720875,4.633517445095211
Vertrijk,50.83594652922674,4.836594370794067
Vilvoorde,50.92414359820823,4.432813750239998
Waregem,50.89242835003542,3.42559831780833
Weerde,50.977243209834526,4.471087335301695
Wespelaar-Tildonk,50.958554857806234,4.637792321159048
Wetteren,51.00149929084834,3.881915592818523
Wezemaal,50.95636089869388,4.748012297469645
Wichelen,51.001758503990175,3.974883903141969
Wijgmaal,50.9233034469938,4.700698413816125
Zaventem,50.885632548337114,4.469909600155111
Zedelgem,51.126381461398005,3.163480495051282
Zichem,51.006658165424646,4.987321399197209
